Culture Social_Stratification   Human_Sacrifice   
Ami_350	2	0
Anuta_253	2	0
Ata_Tana_Ai_124	2	0
Atayal_255	2	0
Atoni_42	2	0
Berawan_45	1	1
Biak_106	2	1
Bidayuh_125	2	0
Bontok_36	3	0
Bughotu_37	2	0
Buka_225	2	0
Bukidnon_415	2	1
Bunun_202	1	0
Chamorro_18	3	0
Cheke_Holo_209	1	1
Choiseul_139	2	1
Chuuk_349	2	1
Dobu_218	1	0
Eastern_Toraja_208	3	1
East_Sumba_330	3	1
Eromanga_464	2	0
Fiji_East_11	3	1
Futuna_East_210	2	0
Futuna_West_261	2	1
Gaddang_Pagan_418	1	0
Hawaii_52	3	1
Iban_28	2	0
Ifugao_420	2	0
Isneg_424	1	0
Kalinga_429	1	0
Kapingamarangi_217	2	0
Kayan_237	3	1
Kedang_236	2	0
Kelabit_60	2	1
Kiribati_346	2	1
Kwaio_66	2	1
Kwaraae_213	1	1
Laboya_323	3	1
Lakalai_281	2	0
Lau_68	2	1
Lifou_196	3	0
Malagasy_Merina_92	3	0
Malekula_South_453	1	0
Manam_168	2	0
Mangareva_239	2	1
Manggarai_84	3	0
Maori_85	2	1
Mare_99	3	1
Marquesas_38	2	1
Marshall_Islands_344	3	1
Mekeo_89	2	0
Minahasa_137	2	1
Moken_95	1	0
Mota_25	1	0
Motu_26	1	0
Nendo_502	1	0
Ngaju_360	3	1
Nias_104	3	1
Niue_247	2	0
Ontong_Java_238	2	0
Paiwan_177	2	0
Palau_109	3	0
Palawan_Batak_265	1	0
Pohnpei_179	2	0
Puyuma_271	1	0
Rapa_Nui_264	2	1
Rarotonga_58	3	1
Rennell_and_Bellona_206	2	0
Roti_115	3	0
Roviana_117	3	1
Sama_Dilaut_Tawi-Tawi_443	1	0
Samoa_118	3	1
Savu_119	3	1
Simbo_473	1	1
Southern_Toraja_226	3	1
Subanun_448	1	1
Tagbanwa_450	3	0
Tahiti_173	3	1
Tanimbar_78	3	0
Tanna_228	2	1
Tetum_403	3	1
Tikopia_155	2	0
Tinguian_426	2	0
Toabaita_223	1	0
Toba_Batak_188	2	1
Tokelau_245	2	0
Tolai_382	2	1
Tonga_136	3	1
Trobriand_Islands_159	3	0
Tsou_138	1	0
Waropen_142	2	0
Wogeo_146	2	0
Woleai_Ifaluk_198	2	0
